"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Lenovo\Desktop\React——Editor\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 203, 0, 0, 0, 8, 26, 237
"c:\Users\Lenovo\Desktop\React——Editor\client\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Lenovo\Desktop\React——Editor\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 5, 11
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\AuthCallback.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 5, 13, 85
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 334, 0, 0, 0, 0, 8, 17, 359
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorFilesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 8, 8, 73
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorSigelPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 209, 0, 0, 0, 0, 36, 35, 280
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 206, 0, 0, 0, 0, 7, 25, 238
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 0, 14, 5, 116
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 267, 0, 0, 0, 0, 5, 29, 301
"c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\home.tsx", "TypeScript JSX", 0, 0, 0, 0, 178, 0, 0, 0, 0, 11, 26, 215
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.css", "CSS", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 8, 65
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\import-map.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Lenovo\Desktop\React——Editor\client\src\template\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Lenovo\Desktop\React——Editor\client\src\types\types.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 7, 49
"c:\Users\Lenovo\Desktop\React——Editor\client\src\types\users\type.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
