Date : 2025-12-11 09:25:15
Directory : c:\Users\Lenovo\Desktop\React——Editor\client
Total : 85 files,  33350 codes, 535 comments, 929 blanks, all 34814 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\main.tsx                            | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\types\types.ts                               | TypeScript         |         41 |          1 |          7 |         49 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\types\users\type.ts                          | TypeScript         |          7 |          0 |          0 |          7 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\ata.ts                                 | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\axios.ts                               | TypeScript         |        103 |         26 |         20 |        149 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\babelPlug.ts                           | TypeScript         |         78 |         16 |          8 |        102 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\codeWorker.ts                          | TypeScript         |         52 |          8 |         15 |         75 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\compiler.ts                            | TypeScript         |         43 |          2 |          3 |         48 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\dogAvataUrl.ts                         | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\files.ts                               | TypeScript         |         43 |         45 |          9 |         97 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\filetree.ts                            | TypeScript         |         86 |         33 |         21 |        140 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\judgeLangyage.ts                       | TypeScript         |          8 |          1 |          0 |          9 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\loadandcompress.ts                     | TypeScript         |         24 |         11 |          6 |         41 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\mannegerToken.ts                       | TypeScript         |         73 |         25 |         24 |        122 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\双Token刷新策略说明.md                        | Markdown           |        189 |          3 |         43 |        235 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\双Token认证系统完整文档.md                      | Markdown           |        365 |          0 |         96 |        461 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\yjs\socket-provider.ts                       | TypeScript         |        118 |         18 |         14 |        150 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.app.json                                | JSON               |         27 |          2 |          2 |         31 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.json                                    | JSON with Comments |         17 |          0 |          0 |         17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.node.json                               | JSON               |         22 |          2 |          3 |         27 |
| c:\Users\Lenovo\Desktop\React——Editor\client\vite-env.d.ts                                    | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\Lenovo\Desktop\React——Editor\client\vite.config.ts                                   | TypeScript         |         16 |          1 |          2 |         19 |
| Total                                                                                         |                    |     33,350 |        535 |        929 |     34,814 |
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
