Date : 2025-12-11 09:25:15
Directory : c:\Users\Lenovo\Desktop\React——Editor\client
Total : 137 files,  24946 codes, 404 comments, 568 blanks, all 25918 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\FileListItem.tsx                         | TypeScript JSX     |        -71 |          0 |         -8 |        -79 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\FileNameList.tsx                         | TypeScript JSX     |        -57 |          0 |         -3 |        -60 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\Header.tsx                               | TypeScript JSX     |       -261 |        -15 |        -25 |       -301 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\LeetCode.tsx                             | TypeScript JSX     |       -331 |        -11 |        -26 |       -368 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\Message.tsx                              | TypeScript JSX     |        -24 |          0 |         -5 |        -29 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\OutputBox.tsx                            | TypeScript JSX     |        -95 |         -7 |        -17 |       -119 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\RunCoder.tsx                             | TypeScript JSX     |        -63 |         -5 |        -10 |        -78 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\Slider.tsx                               | TypeScript JSX     |        -74 |         -3 |         -9 |        -86 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\ifarm.html                               | HTML               |        -19 |          0 |         -1 |        -20 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\ui\avatar.tsx                            | TypeScript JSX     |        -46 |          0 |         -6 |        -52 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\ui\button.tsx                            | TypeScript JSX     |        -55 |          0 |         -6 |        -61 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\ui\card.tsx                              | TypeScript JSX     |        -83 |          0 |        -10 |        -93 |
| c:\Users\Lenovo\Desktop\React——Editor\src\index.css                                           | CSS                |       -133 |         -2 |         -9 |       -144 |
| c:\Users\Lenovo\Desktop\React——Editor\src\lib\utils.ts                                        | TypeScript         |         -5 |          0 |         -2 |         -7 |
| c:\Users\Lenovo\Desktop\React——Editor\src\main.tsx                                            | TypeScript JSX     |         -6 |          0 |         -5 |        -11 |
| c:\Users\Lenovo\Desktop\React——Editor\src\pages\Dashboard.tsx                                 | TypeScript JSX     |       -274 |         -7 |        -17 |       -298 |
| c:\Users\Lenovo\Desktop\React——Editor\src\pages\EditorFilesPage.tsx                           | TypeScript JSX     |        -20 |          0 |        -13 |        -33 |
| c:\Users\Lenovo\Desktop\React——Editor\src\pages\EditorSigelPage.tsx                           | TypeScript JSX     |        -69 |         -9 |         -9 |        -87 |
| c:\Users\Lenovo\Desktop\React——Editor\src\pages\Preview.tsx                                   | TypeScript JSX     |        -83 |         -3 |         -6 |        -92 |
| c:\Users\Lenovo\Desktop\React——Editor\src\pages\home.tsx                                      | TypeScript JSX     |        -89 |          0 |         -7 |        -96 |
| c:\Users\Lenovo\Desktop\React——Editor\src\template\App.css                                    | CSS                |        -57 |          0 |         -8 |        -65 |
| c:\Users\Lenovo\Desktop\React——Editor\src\template\App.tsx                                    | TypeScript JSX     |        -14 |          0 |         -3 |        -17 |
| c:\Users\Lenovo\Desktop\React——Editor\src\template\import-map.json                            | JSON               |         -6 |          0 |          0 |         -6 |
| c:\Users\Lenovo\Desktop\React——Editor\src\template\main.tsx                                   | TypeScript JSX     |         -8 |          0 |         -2 |        -10 |
| c:\Users\Lenovo\Desktop\React——Editor\src\types\types.ts                                      | TypeScript         |        -30 |          0 |         -5 |        -35 |
| c:\Users\Lenovo\Desktop\React——Editor\src\utils\ata.ts                                        | TypeScript         |        -16 |          0 |         -2 |        -18 |
| c:\Users\Lenovo\Desktop\React——Editor\src\utils\babelPlug.ts                                  | TypeScript         |        -64 |         -7 |         -4 |        -75 |
| c:\Users\Lenovo\Desktop\React——Editor\src\utils\codeWorker.ts                                 | TypeScript         |        -52 |         -8 |        -12 |        -72 |
| c:\Users\Lenovo\Desktop\React——Editor\src\utils\compiler.ts                                   | TypeScript         |        -31 |         -2 |         -4 |        -37 |
| c:\Users\Lenovo\Desktop\React——Editor\src\utils\files.ts                                      | TypeScript         |        -31 |         -3 |         -2 |        -36 |
| c:\Users\Lenovo\Desktop\React——Editor\src\utils\judgeLangyage.ts                              | TypeScript         |         -8 |         -1 |          0 |         -9 |
| c:\Users\Lenovo\Desktop\React——Editor\src\utils\loadandcompress.ts                            | TypeScript         |        -24 |        -11 |         -6 |        -41 |
| c:\Users\Lenovo\Desktop\React——Editor\tsconfig.app.json                                       | JSON               |        -27 |         -2 |         -2 |        -31 |
| c:\Users\Lenovo\Desktop\React——Editor\tsconfig.json                                           | JSON with Comments |        -17 |          0 |          0 |        -17 |
| c:\Users\Lenovo\Desktop\React——Editor\tsconfig.node.json                                      | JSON               |        -22 |         -2 |         -3 |        -27 |
| c:\Users\Lenovo\Desktop\React——Editor\vite-env.d.ts                                           | TypeScript         |          0 |         -1 |         -1 |         -2 |
| c:\Users\Lenovo\Desktop\React——Editor\vite.config.ts                                          | TypeScript         |        -16 |         -1 |         -1 |        -18 |
| Total                                                                                         |                    |     24,946 |        404 |        568 |     25,918 |
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
