"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 6, 61
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 10, 93
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 14, 122
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 18, 256
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\config\GlobalConfigContext.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 0, 9, 27, 127
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\config\index.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\i18n\index.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\i18n\locales\en-US.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 9, 9, 125
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\i18n\locales\zh-CN.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 9, 9, 125
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 3, 10
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\store\index.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\Users\Lenovo\Desktop\React——Editor\client\src\core\store\registry.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 20, 19, 88
"c:\Users\Lenovo\Desktop\React——Editor\client\src\index.css", "CSS", 0, 0, 0, 0, 203, 0, 0, 0, 0, 8, 26, 237
