"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\dto\create-room.dto.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\dto\join-room.dto.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\dto\update-member.dto.ts", "TypeScript", 0, 0, 0, 5, 0, 1, 0, 6
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\dto\update-room.dto.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\entities\room-member.entity.ts", "TypeScript", 0, 0, 0, 44, 0, 10, 12, 66
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\entities\room.entitiey.ts", "TypeScript", 0, 0, 0, 45, 0, 14, 25, 84
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\room.controller.ts", "TypeScript", 0, 0, 0, 135, 0, 17, 19, 171
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\room.module.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Lenovo\Desktop\React——Editor\server\src\room\room.service.ts", "TypeScript", 0, 0, 0, 241, 0, 53, 76, 370
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\entities\user.entitiey.ts", "TypeScript", 0, 0, 0, 40, 0, 6, 12, 58
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\user.controller.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\user.module.ts", "TypeScript", 0, 0, 0, 12, 0, 1, 2, 15
"c:\Users\Lenovo\Desktop\React——Editor\server\src\user\user.service.ts", "TypeScript", 0, 0, 0, 75, 0, 9, 10, 94
"c:\Users\Lenovo\Desktop\React——Editor\server\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\Lenovo\Desktop\React——Editor\server\test\jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Lenovo\Desktop\React——Editor\server\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Lenovo\Desktop\React——Editor\server\tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 0, 0, 1, 26
"Total", "-", 25, 11437, 948, 1733, 32, 354, 704, 15233
