Date : 2025-12-24 01:38:02
Directory : c:\Users\Lenovo\Desktop\React——Editor\server
Total : 194 files,  -25408 codes, -816 comments, -978 blanks, all -27202 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\ai\ai.ts                                       | TypeScript         |        -14 |          0 |         -5 |        -19 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\ai\types.ts                                    | TypeScript         |        -10 |          0 |         -1 |        -11 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\auth.ts                                   | TypeScript         |        -32 |         -8 |         -8 |        -48 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\types.ts                                  | TypeScript         |        -21 |          0 |         -3 |        -24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\room\api.ts                                    | TypeScript         |        -71 |        -18 |        -17 |       -106 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\room\types.ts                                  | TypeScript         |        -61 |        -14 |        -14 |        -89 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\socket.ts                                      | TypeScript         |        -30 |         -8 |        -10 |        -48 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\assets\react.svg                                   | XML                |         -1 |          0 |          0 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatHeader.tsx                   | TypeScript JSX     |       -106 |         -7 |        -10 |       -123 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatInput.tsx                    | TypeScript JSX     |        -96 |         -8 |        -11 |       -115 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatMessage.tsx                  | TypeScript JSX     |       -152 |        -15 |        -10 |       -177 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatMessages.tsx                 | TypeScript JSX     |        -69 |        -13 |         -8 |        -90 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ChatSidebar.tsx                  | TypeScript JSX     |        -67 |         -8 |         -7 |        -82 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\CodeBlock.tsx                    | TypeScript JSX     |        -67 |         -5 |         -6 |        -78 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\AIChat\ConversationList.tsx             | TypeScript JSX     |        -77 |         -2 |        -11 |        -90 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Client.tsx                              | TypeScript JSX     |        -63 |         -5 |         -6 |        -74 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\Editor.tsx                  | TypeScript JSX     |       -161 |        -24 |        -17 |       -202 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\index.tsx                   | TypeScript JSX     |        -18 |         -8 |         -2 |        -28 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\inlineCompletionProvider.ts | TypeScript         |       -126 |        -36 |        -29 |       -191 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\ProtectedRoute.tsx       | TypeScript JSX     |        -19 |         -3 |         -6 |        -28 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\PublicRoute.tsx          | TypeScript JSX     |        -18 |         -2 |         -7 |        -27 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Editor.tsx                              | TypeScript JSX     |       -133 |         -9 |        -15 |       -157 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileListItem.tsx                        | TypeScript JSX     |        -71 |          0 |         -8 |        -79 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileNameList.tsx                        | TypeScript JSX     |        -51 |          0 |         -4 |        -55 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileTree\FileTree.tsx                   | TypeScript JSX     |       -676 |        -56 |        -66 |       -798 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Header.tsx                              | TypeScript JSX     |       -185 |        -17 |        -26 |       -228 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\LeetCode.tsx                            | TypeScript JSX     |       -331 |        -11 |        -26 |       -368 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Message.tsx                             | TypeScript JSX     |        -24 |          0 |         -5 |        -29 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\OutputBox.tsx                           | TypeScript JSX     |        -97 |         -7 |        -17 |       -121 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\RunCoder.tsx                            | TypeScript JSX     |        -72 |         -4 |        -14 |        -90 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Slider.tsx                              | TypeScript JSX     |        -88 |         -6 |        -10 |       -104 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Terminal.tsx                            | TypeScript JSX     |       -250 |        -30 |        -34 |       -314 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ifarm.html                              | HTML               |        -19 |          0 |         -1 |        -20 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\member\MemberItem.tsx                   | TypeScript JSX     |        -88 |         -3 |         -8 |        -99 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\member\MemberList.tsx                   | TypeScript JSX     |        -38 |         -1 |         -5 |        -44 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\permission\PermissionGuard.tsx          | TypeScript JSX     |        -45 |         -2 |         -7 |        -54 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\permission\ReadOnlyBanner.tsx           | TypeScript JSX     |        -14 |          0 |         -4 |        -18 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\permission\RoleChangeNotification.tsx   | TypeScript JSX     |        -57 |         -3 |        -11 |        -71 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\room\CreateRoomForm.tsx                 | TypeScript JSX     |       -158 |         -7 |        -12 |       -177 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\room\JoinRoomDialog.tsx                 | TypeScript JSX     |       -101 |         -2 |         -8 |       -111 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\room\RoomCard.tsx                       | TypeScript JSX     |        -56 |         -1 |         -5 |        -62 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\avatar.tsx                           | TypeScript JSX     |        -46 |          0 |         -6 |        -52 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\badge.tsx                            | TypeScript JSX     |        -31 |          0 |         -6 |        -37 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\button.tsx                           | TypeScript JSX     |        -55 |          0 |         -6 |        -61 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\card.tsx                             | TypeScript JSX     |        -83 |          0 |        -10 |        -93 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dialog.tsx                           | TypeScript JSX     |       -108 |          0 |        -14 |       -122 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dropdown-menu.tsx                    | TypeScript JSX     |       -238 |          0 |        -18 |       -256 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\input.tsx                            | TypeScript JSX     |        -21 |          0 |         -6 |        -27 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\label.tsx                            | TypeScript JSX     |        -19 |          0 |         -4 |        -23 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\scroll-area.tsx                      | TypeScript JSX     |        -52 |          0 |         -5 |        -57 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\separator.tsx                        | TypeScript JSX     |        -23 |          0 |         -4 |        -27 |
